Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1921,10.532147854136825,6.5376132471413575,7.529472977915341,4.2893630234658895,8.687008584323067,3.4837039932817193,6.840341136640248,6.821039103359741,6.1871966612363485,3.6596271141384893,3.617587368597885,7.9498807318260045,7.547384530429313,3.474723307346369,3.542082253499569,2.601623249995449,5.839573669596053,12.72811434012801,6.678916514962044,9.854374142729377,2.8671680556040315,6.762453153704606,10.258457650377174,,5.335918206442118
1922,10.72498323956742,7.130963903014967,7.844020189680129,4.916953240491605,9.631308507849539,3.473860750640332,7.136473332250567,7.38289836182925,6.401162942001113,3.944272612212528,4.424271441264737,8.227835606320129,7.6679409133145615,5.000852170477366,3.821948728384725,2.5846896175416227,5.989286846678028,13.447829928965124,7.615701256482622,9.148704838067136,3.2131696387726976,6.785464905637237,8.918878439013643,,5.811680390249927
1923,10.804130285604868,7.0673218884156235,8.150887094175125,5.208510300895029,10.301430147950308,3.9588600116243806,6.378110134697695,8.02378593835503,6.43155887921309,4.160900467559091,4.860936921453031,8.23469864056507,7.619480155981562,5.344953010507765,4.190986728269684,2.577191770381869,6.206881106114752,13.586381609869349,7.666057688062747,8.969023450724164,3.3552268487735915,6.636089745422574,9.555602348559121,,5.827655569605447
1924,11.299602045580217,7.906335457504361,8.324301012178294,5.287575885246487,10.80636328088303,4.209025052273449,6.885798518379926,7.9292101505151535,6.5619631689797755,4.332250129552685,5.663167194360191,8.480286676882029,7.912143282427931,5.483535196236011,4.200998524542907,2.6304211533363215,6.118657988621617,14.18052182355062,7.929452384812535,9.411338787424027,3.225887519591255,6.74790570231467,11.013708456837099,,6.246885701436393
1925,11.462989257827283,8.451458762944853,8.376201157687603,5.8657489773687335,11.651338335494337,4.319149217234291,6.866613966248055,7.626472569481319,6.911837769935266,4.577970170961637,5.994783921075785,8.793478703218877,8.304878570370583,5.648555118481153,4.376032692971514,2.7292261079240356,6.511779596694933,14.499278782972857,8.383519114484779,9.536577696310834,3.3601306350613274,6.790482241915744,10.159049749329263,,6.445119949207914
1926,11.591943294231827,8.597142718651542,8.52259974110979,6.182013987168797,12.194393533606021,4.396817401623233,7.5554001867370415,7.955759347432493,6.82874920154998,4.622695238689599,6.496442562214503,8.516820150800976,8.358965912077494,5.856247078364896,4.398917865219974,2.7345746299391034,6.918383350252186,15.290134724553418,8.716919520159133,9.625078941398499,3.332822888006928,6.968202186603257,10.95501334442295,,6.787014578472807
1927,11.454371879434737,8.872675450417733,8.557730722395577,6.794778295591028,12.736423013392617,4.273337232301757,7.40316282879094,8.039859704517335,7.365195478167695,4.854489035428555,6.506523970338259,8.855060582864423,8.420250984941124,5.8912267545346175,4.2842029080727455,2.7669552729396374,6.63117962568604,15.728589919390798,9.062243795267209,9.086709983128419,3.9213194899998327,7.043446794616818,10.989168462475686,,6.833550208912844
1928,11.500466124233578,9.297383456184193,9.262281724549096,7.397659063514992,13.309965312560577,4.850870140361435,7.557880706172915,8.214177500226537,7.3251828149018,5.020354234708195,6.918041487131291,8.930510070546335,8.447926569830807,6.120597540134232,4.6277068984430505,2.9622193088643307,6.68760314594641,16.198680867357307,8.929527956531228,9.050005980532557,3.5366517780936744,7.4159031046811865,10.960324822405305,,7.105393225047645
1929,11.305198036798606,9.445673398514073,9.611047816688876,7.3877743742855015,13.684822336419185,5.206199916894392,7.469464054773298,8.661832989517128,7.776938238556733,5.234524591007113,7.396816657471471,9.063623289485474,8.745091612834235,6.373057362667002,4.73693390135094,3.0463963996092582,6.446125021359157,16.29415574688486,9.578387126954976,9.777845344773445,3.9246138169197953,7.419131660060662,11.075141714981173,,7.277421473252989
1930,10.400028194652334,9.19367754692328,9.88791455547939,7.2213961778479625,13.59624743456534,4.806668426213037,7.67683819663765,9.084382507356704,7.438168844344484,5.730929147223159,7.34721851497204,9.122775590376397,8.341359659864914,6.538027832486809,4.61853867822976,2.8325320158477822,6.056131513432229,15.990454237194294,10.31900554483916,9.833742804956914,3.8667301064830464,7.587723374919796,11.054531395263826,,7.27306756968674
