,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1921,3.5757822501932948,3.106449186597135,2.5573886070794734,1.8159604381115497,2.4997189398201316,1.776486069812003,2.6438784834649742,3.3118233239787545,3.174934217572442,1.6724912023196403,1.3312249445269113,3.3415375655201993,2.7645043720059492,2.306956406290091,2.0569173686761655,1.8836094635582195,3.3034911653465975,4.268114805954229,2.460618466408957,3.6262728676369234,1.5830476836331808,2.590917021039284,2.844552478865754,,2.1817958583796435
1922,3.6251504545855417,3.326432927295207,2.666473703451047,2.072419918253646,2.758964438228758,1.762625936908295,2.756939306125887,3.5839010946871914,3.2733849921199845,1.8110494807392017,1.6190837613325373,3.4599302828441454,2.8105446203001234,3.2591974788853135,2.2161536583849593,1.841231049611332,3.331798098978182,4.451561409163242,2.7665736023406486,3.368016247621255,1.7666225245317166,2.6760899283642297,2.6176210938186677,,2.3686414093506984
1923,3.6253520891257063,3.2416800214118786,2.773612509286767,2.185137624647334,2.9242796209159545,2.0007536971283524,2.426939244646856,3.886864774973368,3.2757368878037494,1.9097916473537018,1.7558425979679764,3.4837608084903526,2.8027202005494085,3.4177272453641856,2.4090898961970146,1.8083054143314936,3.43222670226754,4.47467292523106,2.791300265396362,3.2898252382226243,1.8313925384881176,2.6492234243993575,2.8358036635140995,,2.350917845343942
1924,3.7522886184766677,3.62779636819255,2.8385098238943534,2.1994288153237544,3.0423930375851596,2.1188776612302562,2.6387743339627536,3.8265868992613608,3.3241582911244154,1.9642064701172526,2.0150137284723666,3.584397884120007,2.90079328985072,3.431756144239197,2.4079114955579835,2.029843806188767,3.359712586894674,4.680430403684884,2.8419424705276817,3.4369595674815803,1.747839395892097,2.7094425837164358,3.1264846915957336,,2.514641095219403
1925,3.784693541129495,3.796628501754708,2.8363485271062765,2.423422586706276,3.254355998736715,2.159978828804175,2.6833399505515763,3.66807746348468,3.4760704145332504,2.057229326724334,2.091753273443007,3.7106307528501232,3.0253478420636335,3.4494377073577067,2.5032559664656775,2.052479697009018,3.5407228333653062,4.780060022353343,2.987491801450764,3.469366469966883,1.8097057341104779,2.7080007117218567,2.9466974693380297,,2.593989801069831
1926,3.7854098427093215,3.839338854750265,2.8675113107695225,2.5367789886187184,3.3896862598395074,2.1847027100196805,2.8700208884884937,3.819104904438555,3.4101222467456416,2.078739115538952,2.2273292008215178,3.5645534300659563,3.04324512838344,3.4811554830526217,2.495669741111186,2.006155337187422,3.7216914084371653,5.037204478909053,3.060400253202587,3.487753191755166,1.782012141938675,2.7969822828300077,3.13230970019547,,2.69095883234425
1927,3.7248845499118217,3.93254044259055,2.867386221197227,2.7674511964039934,3.528541552271892,2.106596937935668,2.9013659681746096,3.8458420668363624,3.6438924908227293,2.1769004189703587,2.1998869170962134,3.734551927483183,3.061396558698171,3.4393651768390074,2.4145975869007916,1.9753556742570055,3.5325084179955972,5.151612965329673,3.1635191564737153,3.2848850128756673,2.084613386018044,2.829520449268738,3.1108828800691515,,2.719851319014079
1928,3.6985691281012922,4.094951039550829,3.08808868325765,2.9826861313154676,3.6634786722714385,2.3697018135924743,2.953114100665677,3.9219180622408447,3.5912670386527896,2.247490724119881,2.3280456121752153,3.7527568245547895,3.057200443026246,3.505826139694693,2.572786344985091,2.0654361810778425,3.5331216149542493,5.286427806341305,3.1542335373500565,3.2619936860526253,1.870344116603879,2.9367909003127597,3.0901305300435924,,2.810664084922115
1929,3.5957353761429367,4.122750128186701,3.178381145382854,2.940064864492825,3.744493918993389,2.516093904233451,2.900222053923491,4.125671469308153,3.768403066529127,2.281659123621376,2.48786651369365,3.805334785778884,3.156790162890928,3.583516316841876,2.6292938604649096,2.0803426181975055,3.3701409178626243,5.257835047019472,3.3736297190809537,3.498183628577364,2.0560676910729203,2.982768156518464,3.1409402453394217,,2.867388559266799
1930,3.262209638073416,3.9718943205524164,3.2267421787612975,2.825459014436251,3.6872233436772293,2.275022275118086,2.8836228095791347,4.304701927739972,3.559401760793212,2.393307763118308,2.435960443984074,3.7914968457001654,3.001384394166485,3.626377168372824,2.514566488886571,1.8918083713578056,3.1194600285210172,5.120144495661204,3.5952609862207114,3.490603839909247,2.0072248448009504,3.044733394612509,3.0230331310978182,,2.808646801745645
1931,3.254786378370489,3.6276850767105064,3.162422174272915,2.3881796106668647,3.662743310658517,1.7920083413296846,2.738006133244968,4.283729343965559,3.391839158547656,2.441547902580434,2.4201259703076254,3.613688263869776,2.794506586908046,3.673898746805295,2.52117928101479,1.8593580305895345,3.180065660290691,4.820990305305923,3.420262988943873,3.2673266572805737,2.0821098828657605,3.0239515498351035,3.023543673562513,,2.7270829517938404
1932,3.5188715571990468,3.2432518892556974,3.06551538720662,2.228037650884283,3.6773165615193455,1.572220004545976,2.690624975292966,4.1076880692268,3.422643803871532,2.3372736796703806,2.321187640657652,3.706301970618043,2.9613828698353934,3.7334302456570443,2.584770528149604,1.97392101694167,2.6875591467361017,4.9200266426455235,3.5834471117281357,3.006322446871837,2.09926183651905,2.9160226825895452,2.9550778926363974,,2.6935739736896527
1933,3.6287707567787124,3.139044934355423,3.045113899908822,2.0768507767513533,4.084530570684746,1.8774968577323756,2.7242798275049576,4.183891177052888,3.3401762868038145,2.423685467143632,2.3345210994985877,3.812833234810045,3.076578209504209,3.5990685624693253,2.5244432394680847,2.101062630164996,2.9865594170024954,4.871709821853215,3.631883990174185,2.9699714228470167,2.2323365913668765,3.017833566576288,2.8752139437031015,,2.6925526003210134
1934,3.693651012879924,3.885605992440818,2.983790460550781,2.297363519885135,3.932298958686579,2.1287856299524197,2.7850905586901638,4.25184836842829,3.4346280799290825,2.5597765700950013,2.275881197640989,3.9809333200806094,3.070583859698161,3.4517595140857713,2.466650046666928,2.056713365186078,3.170163987277548,4.659664269853882,3.69345479321272,3.273383414500881,2.302621151271956,3.084970419058092,3.188160720437217,,2.7032349492051213
1935,3.8007609510084195,3.697902975353189,3.1232238361536973,2.5001072221153366,3.970093535331996,2.1832728790309335,3.0671722957594714,4.2745646499777665,3.476967182046682,2.5874251850977634,2.234641615201947,4.062158819692931,3.104199089107597,3.4868903204952355,2.490879894287326,2.0568203581631432,3.3598772559045624,4.8548825684342525,3.7472063571151724,3.285763824801468,2.162864493276153,3.214397041335763,3.2766888728820196,,2.791540786093065
1936,3.8690680651533027,3.571730826751453,3.170127823240183,2.6395480133324933,3.987904514415725,2.254872625844134,3.1608953977062213,4.32045094921464,2.7193081203695573,2.6716529046414608,2.245789284406465,4.143055473501789,3.027042245073398,3.5229819307723433,2.371391341101284,2.141698402227006,3.575117645158754,5.081660702933999,3.8576070594660905,3.6400219073212097,1.9643604462537514,3.3337270030209987,3.448945274130352,,2.7530149622701807
1937,3.982996771692925,3.547980583243685,3.303969431517749,2.886451411424559,4.071357084660612,2.450437135234483,3.4235360725569235,4.371492682547731,2.498701696095868,2.6857640034816574,2.5021112791687505,4.162329141939645,3.372789328657832,3.5569099020938406,2.5225550806452928,2.1957594637715894,3.637539180052132,5.185233647417824,3.9422285966572836,4.381787031114956,2.2584582332013543,3.3449659376748477,3.5994373383075975,,2.930677311972172
1938,4.014730813491033,3.787194563262035,3.2796676265608338,3.0108563016576912,4.257128771976016,2.5228374760064303,3.559962461196696,4.431390591638979,2.5033027160381907,2.708022920237109,2.449741599845503,4.105705731133634,3.21323258618634,3.396644315528895,2.5593681404659563,2.2975365661486835,3.6150244847254998,4.946066692682992,3.962479197795202,4.494741300810581,2.234533583155648,3.4115065429480107,3.9132122269110536,,2.970432976466142
1939,3.983172107133569,4.110606114263786,3.144472946518578,3.1752775556928463,4.148597104693701,2.480399880791518,3.889758310247984,4.5835835243758964,2.7083866332035527,2.6730986058937827,2.534284470708691,3.902386019620717,3.1144220446882445,3.4494809646412254,2.6958416817371775,2.5782567078753647,3.774550255605246,5.073047695061094,3.994138205659496,4.752547738573661,2.225202326543321,3.508700098335523,3.877987277111027,,3.1669078327791005
1940,4.184719094414204,3.9287035743018066,2.579756463545425,3.533314358822338,4.116669350056259,2.5657209085294697,4.0162218604073665,3.9223204945874457,3.0220784346835377,2.4108686740507674,1.9618897079753872,3.750853229394482,2.608587470901808,3.427930490734121,2.7135503542681887,2.5782382272420357,3.7854622693011235,4.317746500407426,3.5958707300104455,4.948836489311073,2.049062624151067,3.357964771413953,4.024888470211239,,3.1034015984200773
1941,4.562590503032677,4.263940081460246,2.208369802520524,4.002327480567959,4.10297025698709,2.513160713900666,4.546616450623221,3.4840139871998894,2.9434462199260394,2.4833997043797154,1.8472036824512545,3.9710463653663846,2.2109744321766134,3.4269027602476623,2.7618841920509976,2.6228810781919885,3.9648713630265533,4.0039315444242245,3.607209795929834,5.063179059412063,2.203063696405914,3.410914527554685,4.343471508398873,,3.289053871014516
1942,5.069633222625437,4.023487622504834,2.2529104280639847,4.700544389970498,3.998975605457396,2.5931249840421766,4.569158037485854,3.542968216729661,3.060983573874283,2.500311304278795,1.8660495888793938,3.817129544043963,1.8722797380094138,3.353804436596728,2.605317796197109,2.6206000559500406,4.106323480749629,3.6230580392849387,3.5016936650068327,5.274615499406977,2.139905022417192,3.4198642799861627,4.751978345930658,,3.2886796292363125
1943,5.3405079487603295,4.1989817289143305,1.8116001534427164,4.941266290046521,3.9540963217264276,2.630941424737006,4.820472819149882,3.909017402436032,3.11760560997333,2.71674235184685,1.8586692549111279,3.8370382121176108,1.5852684996469582,3.2992800547787655,2.2083270148521543,2.6829799354329795,4.139676271376762,3.5016610230903695,3.453632090828896,5.866356372725853,2.2380898244478318,3.561224952072507,4.932424517548606,,3.3248001149749826
1944,5.174018546432434,3.9661373965678948,1.8686531521449234,5.161996642383039,4.057691571585424,2.648490470692882,4.817919407763083,4.484635419337565,3.215050580995682,2.633910105661736,1.330907980496572,4.070900575002516,1.3424395706777799,3.265110868872713,1.7924908024801411,2.58572755928362,4.345700809544745,2.3762131403931663,3.303329624329277,6.289633300027344,2.3305775884652973,3.628903824948638,5.551570817457357,,3.0654244516695845
1945,4.895527890374036,1.823431685224208,2.039350190178664,5.106709285045305,5.232801859709345,2.8558517629616103,1.7811218387347516,4.126473037429561,2.945316135843517,2.6056992850262697,1.6196039503429964,4.312125639507607,1.1276363487728396,3.243935623256649,1.629886165654416,1.2818534771001324,4.324922816057847,2.463509079384723,3.754103445538585,6.1098046914604085,2.199335257955143,3.6359850281573696,5.6670584426253905,,1.8740498527834955
1946,4.5844576114642885,2.0717680713055024,3.25193062836239,5.08785824709205,5.567242291399508,3.0046478512993886,1.891107866025777,4.748956052844378,3.0297920856153544,2.7351327849786227,2.1316220271364834,4.554759177370672,1.6593651597772998,3.176579046983178,2.228252866638383,1.5337915187130362,4.420175920817457,4.2844305988800135,3.9464169470283665,6.097773042206621,2.3267664260216825,3.9641903693103027,5.063009483585175,,2.30404371909234
1947,4.532034272109828,2.3091237972960963,3.5796507593067557,5.268717331301808,6.216423492812032,2.773809397633055,2.3160473408411866,4.971376827723465,3.0305559998186746,2.776452147833034,2.218793529225389,4.708930912355592,2.091364277279617,3.184646201206117,2.636938075093182,1.6443574432330677,4.363462530099496,4.897527961597679,4.347098169880371,5.909576513456866,2.4625792239196813,4.147340427675633,5.011582653434872,,2.5905092003569536
1948,4.784259607008143,2.965933706168994,3.757348506608635,5.314736097173452,6.330484640637283,3.0844388616595975,2.6312011672999933,5.041076160138448,2.9861885853505328,2.8267043992477765,2.49622721933966,4.767587188600498,2.083405202109116,3.1900735340195654,2.79354191696469,1.8254094586472727,4.34651267553152,5.278098320897436,4.529348457213992,5.8764508034283764,2.3972931733524865,4.125222022805927,5.2322843251697675,,2.8124758558677616
1949,4.953643070371202,3.5601463597224723,3.9019643965819473,5.346150223161288,6.175181107007201,3.0364913211222695,2.894465362656136,5.28793260539303,2.9006494092451542,3.018736192218841,2.6866749282771623,4.8877811331387635,2.141038946029454,3.2626198296122912,3.030394466848659,1.882409224303331,4.438051569126514,5.656325435326571,4.543192068044555,5.431828654812253,2.388041082930189,4.169169058230729,5.227654425587186,,3.010620734941338
1950,5.158443544699586,4.043446033358998,3.989726233935071,5.640391669763921,6.45369502201158,2.7063422977329954,2.9881429307276806,5.592723356737728,2.9199442511195364,3.0544016261404145,2.9068197821526756,4.750391462876543,2.2206734093329854,3.3463591537691686,3.448100652899409,1.9591528907831228,4.725241186194146,5.754605386576586,4.584752152875359,5.523052920474313,2.401132776510301,4.4124207299914255,5.647209115439742,,3.1915842282024958
1951,5.315658701792968,4.234944190597542,4.18983238020054,5.888189165969925,6.807279045114596,2.8187187186788916,3.215429222714862,5.507476373345978,3.175427204908922,3.2414816251088086,3.0264872621930987,4.804065677578195,2.30984408883873,3.38324531437393,3.709970252075324,2.1618144977552856,4.948927824473416,5.791720075387996,4.789066171963117,6.3031116580996995,2.473250989841835,4.501619686808003,5.864012261232922,,3.382600300313127
