Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1920,9379.647417429991,4907.586503033811,5804.86914153167,7339.964064445064,11242.5975292376,3267.9328966607236,6001.386043404087,7272.059274892588,5412.6012516052415,3193.745940286682,5097.991925002901,6676.058664603818,4775.964098532175,4130.853845276302,4434.040717961652,2951.0789821854505,4379.240834638878,8329.208216644734,6873.479542848747,9643.293632610055,2517.21096412622,5299.962939353507,7574.778898519874,,5286.434902198558
1921,9665.50564062904,5394.948808955941,6218.098548849946,6381.065841550089,10966.42597895442,3198.9367604050162,6295.049683493914,6969.782151630649,5500.181961837675,3261.9313563894634,4841.967787821813,6516.402291133564,6244.316281250018,4114.765844503403,4271.106779659539,3236.0459695103477,4410.061828208339,8746.653954643269,6130.283512385778,9972.719455294842,2641.466312850595,4730.270495069081,7159.905056939324,,5400.439594949469
1922,9966.378001528541,5860.736086146671,6633.539844348396,7210.079821945757,12034.52026004175,3139.37620546857,6637.611920307326,7589.6882158599765,5677.188174250515,3556.96916715973,5801.596990738011,6806.736856367984,6334.559747820157,5890.047027002966,4583.487609223502,3186.6568737132266,4444.7374434297935,9077.892815226583,6720.452168981985,9255.579174536222,2928.097795654914,5245.805948126939,7574.641775402393,,5859.237988213963
1923,10218.982057828227,5782.954901907746,7054.751911487014,7557.572393950965,12701.54077039622,3523.650859411237,5728.917321749955,8304.617115200997,5692.879046422308,3781.9037093622474,6070.246215812612,6986.962201416136,6285.087220608251,6042.715885523636,4960.931532656914,3148.767610000603,4525.805182293483,9148.5221599998,6856.073561592675,9103.244711032848,3017.242782286204,5394.809869573008,8503.74435458547,,5727.451847830344
1924,10662.605231662474,6443.609269712575,7359.59293673604,7559.590540037349,13131.246228398923,3692.3592381640037,6347.1684615119075,8248.843394438307,5795.010896507172,3848.0260582845967,6731.751251353661,7223.641535080772,6514.022297126742,5987.792386194917,5049.677346698816,3195.697138103573,4383.9239464963675,9662.687626645555,6813.403206315904,9539.559817079624,2869.5239928888523,5667.618558798592,8564.826886486044,,6130.925216830515
1925,10929.61586527055,6859.157936452067,7365.046408468775,8250.074619919349,14040.003891261687,3736.8914237900117,6760.745299104336,7975.931700795557,6092.12688952208,4025.2532402350116,6772.878062779922,7551.802791121329,6824.05386594418,5974.768524339768,5349.4793769995,3280.700078158173,4583.295953002229,9930.100646034238,7184.8850839141205,9635.849825039795,2961.2548092440175,5654.804387917972,8629.701051292974,,6392.988602810763
1926,10967.940167085393,6949.454578747959,7460.039472410104,8548.087755010067,14660.6132934189,3754.1506268035505,6798.4173827661525,8375.42773654154,6008.571968295044,4137.384242280948,6999.8087574194415,7245.912500405856,6854.76775360563,5983.635704954954,5346.9701021534665,3257.0602265657044,4783.020951351306,10575.10136021671,7250.425190320193,9717.651854585469,2905.99582138785,6035.072383494883,9031.41999088735,,6470.687623809723
1927,10911.324891153316,7142.018221963133,7462.193072204245,9213.258772169947,15353.459872718475,3602.9134021726986,7451.100673317281,8485.169587400113,6463.500946875481,4420.056033672872,6851.183188733491,7802.003824274515,6885.576799691907,5980.520276990933,5201.567406220525,3253.90818083823,4503.426516877065,10864.141039963873,7492.069418424794,9082.671733697718,3373.9567705852764,6210.310701551175,8955.351027566405,,6699.941207821433
1928,10730.214998777692,7452.280671966609,8018.505603534525,9830.25051750632,16081.175434705123,4040.662119675364,7649.5219415531565,8717.508782263027,6423.794864446075,4682.606325472901,7250.696105791134,7863.6970172289775,6842.367044368975,6170.067054188782,5483.9770534414265,3467.2751669485056,4460.0750379272395,11289.297330757874,7794.040002306387,8949.519893455803,3010.910210812089,6333.271119539253,9009.993518073587,,6929.350364542482
1929,10358.618277179807,7537.9035270088325,8263.51140042008,9628.491416651988,16500.59288679814,4286.607091721075,7491.439087801963,9245.586587509688,6809.068373217545,4701.20289652282,7861.253912322295,8078.5338412138235,7092.070959028288,6365.576149049758,5718.178532956011,3525.335637099186,4221.008555323756,11228.488542610447,8500.41571721966,9572.854283481229,3297.081332622895,6796.720525511044,9495.701800778228,,7115.446601163524
